run,competition,variant,k,cum_hours,score,medal,lower_better,file,note,metric_version,grader_sha256,mlebench_version,mlebench_commit
20260808_003820_jigsaw-base-s43,jigsaw-toxic-comment-classification-challenge,uncapped,6,8.0,0.98561,above-med,0,top6ens-total_run_time8.0h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260808_003820_jigsaw-base-s43,jigsaw-toxic-comment-classification-challenge,uncapped,7,14.43,0.98526,above-med,0,top7ens-total_run_time14.43h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260808_003820_jigsaw-kb-s43,jigsaw-toxic-comment-classification-challenge,capped,1,6.71,0.98679,silver,0,top1ens-total_run_time6.71h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260808_003820_jigsaw-kb-s43,jigsaw-toxic-comment-classification-challenge,capped,2,7.04,0.98734,silver,0,top2ens-total_run_time7.04h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260808_003820_jigsaw-kb-s43,jigsaw-toxic-comment-classification-challenge,capped,3,7.65,0.98717,silver,0,top3ens-total_run_time7.65h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260808_003820_jigsaw-kb-s43,jigsaw-toxic-comment-classification-challenge,capped,4,7.98,0.98672,silver,0,top4ens-total_run_time7.98h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260808_003820_jigsaw-kb-s43,jigsaw-toxic-comment-classification-challenge,capped,6,8.35,0.98559,above-med,0,top6ens-total_run_time8.35h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260808_003820_jigsaw-kb-s43,jigsaw-toxic-comment-classification-challenge,uncapped,1,6.71,0.98679,silver,0,top1ens-total_run_time6.71h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260808_003820_jigsaw-kb-s43,jigsaw-toxic-comment-classification-challenge,uncapped,2,7.04,0.98734,silver,0,top2ens-total_run_time7.04h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260808_003820_jigsaw-kb-s43,jigsaw-toxic-comment-classification-challenge,uncapped,3,7.65,0.98717,silver,0,top3ens-total_run_time7.65h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
